,assist_percentage,assists,block_percentage,blocks,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,name,offensive_rebound_percentage,offensive_rebounds,personal_fouls,player_id,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage
125,,427,,35,,239.0,0.508,1794,761,0.52,933,0.868,810,4357.0,Troy Bell,,171.0,284.0,troy-bell-1,2632,,272,0.45,807,0.372,300,,493,0.588,13.6,351.0,987,0.467,461,
126,10.7,267,5.0,228,,708.0,0.538,1366,726,0.64,874,0.757,662,4210.0,David West,,299.0,350.0,david-west-1,2132,,174,0.04,55,0.327,18,16.3,1308,0.598,15.2,320.0,1311,0.54,708,26.8
127,6.0,181,1.2,81,,225.0,0.491,1406,636,0.41,577,0.745,430,3907.0,Dahntay Jones,,101.0,398.0,dahntay-jones-1,1811,,133,0.225,317,0.344,109,10.0,598,0.539,14.2,278.0,1089,0.484,527,26.2
128,14.0,171,1.0,136,,492.0,0.547,1246,635,0.388,484,0.793,384,3389.0,Brian Cook,,180.0,394.0,brian-cook-1,1748,,92,0.222,277,0.339,94,14.2,815,0.592,15.3,266.0,969,0.558,541,32.8
129,13.4,239,3.2,143,,406.0,0.524,1335,645,0.383,511,0.708,362,3536.0,Josh Howard,,262.0,373.0,josh-howard-1,1761,,215,0.231,309,0.353,109,14.0,836,0.558,14.8,275.0,1026,0.522,536,28.0
130,11.8,265,0.1,8,,350.0,0.575,1491,699,0.307,458,0.83,380,4313.0,Jason Kapono,,153.0,294.0,jason-kapono-1,2095,,108,0.476,710,0.446,317,8.6,647,0.613,14.3,286.0,781,0.489,382,22.1
131,30.2,582,0.6,58,,372.0,0.459,985,420,0.406,400,0.685,274,3514.0,Luke Walton,,152.0,236.0,luke-walton-1,1179,,151,0.232,229,0.284,65,10.4,662,0.502,22.2,336.0,756,0.47,355,21.4
132,,103,,53,,363.0,0.534,861,457,0.491,423,0.66,279,1874.0,Mario Austin,,207.0,184.0,mario-austin-1,1199,,64,0.02,17,0.353,6,,570,0.565,14.4,178.0,844,0.534,451,
133,17.5,150,1.5,37,,293.0,0.479,843,366,0.504,425,0.774,329,2356.0,Travis Hansen,,119.0,243.0,travis-hansen-1,1137,,63,0.244,206,0.369,76,9.0,412,0.544,13.9,169.0,637,0.455,290,28.8
134,36.5,972,0.6,38,,292.0,0.499,932,374,0.291,271,0.771,209,4313.0,Steve Blake,,67.0,290.0,steve-blake-1,1139,,234,0.513,478,0.381,182,6.0,465,0.537,29.9,453.0,454,0.423,192,17.0
135,,513,,89,,268.0,0.505,665,317,0.496,330,0.6,198,3302.0,Derrick Zimmerman,,88.0,222.0,derrick-zimmerman-1,870,,205,0.214,142,0.268,38,,418,0.529,29.5,284.0,523,0.533,279,
136,15.7,270,0.9,35,,331.0,0.503,1409,649,0.339,477,0.757,361,3721.0,Willie Green,,105.0,290.0,willie-green-1,1779,,117,0.242,341,0.352,120,8.4,519,0.544,13.1,246.0,1068,0.495,529,30.5
137,,314,,15,,274.0,0.52,1535,671,0.309,475,0.688,327,3913.0,Keith Bogans,,159.0,264.0,keith-bogans-1,1923,,154,0.484,743,0.342,254,,552,0.546,14.7,304.0,792,0.527,417,
138,9.7,158,1.4,64,,446.0,0.574,1154,580,0.287,331,0.74,245,3281.0,Matt Bonner,,217.0,195.0,matt-bonner-1,1570,,94,0.362,418,0.395,165,11.4,778,0.599,11.8,154.0,736,0.564,415,22.9
139,24.4,271,0.4,9,,187.0,0.47,698,283,0.308,215,0.847,182,2159.0,Mo Williams,,63.0,152.0,mo-williams-1,838,,95,0.438,306,0.294,90,6.2,250,0.524,19.1,189.0,392,0.492,193,24.8
140,10.3,142,4.6,192,,360.0,0.483,1090,464,0.336,366,0.831,304,3351.0,James Jones,,182.0,262.0,james-jones-1,1356,,137,0.297,324,0.383,124,10.3,606,0.536,12.9,188.0,766,0.444,340,22.7
141,19.0,294,1.4,58,,422.0,0.629,1184,559,0.296,350,0.891,312,3540.0,Kyle Korver,,141.0,297.0,kyle-korver-1,1801,,172,0.692,819,0.453,371,11.4,664,0.667,14.6,231.0,365,0.515,188,22.6
142,14.8,252,2.2,87,,666.0,0.524,1385,706,0.666,923,0.608,561,3881.0,Brandon Hunter,,231.0,313.0,brandon-hunter-1,2012,,95,0.083,115,0.339,39,16.8,1103,0.552,18.1,402.0,1270,0.525,667,29.4
143,4.6,81,8.3,441,,738.0,0.59,995,587,0.449,447,0.564,252,3274.0,Emeka Okafor,,353.0,271.0,emeka-okafor-1,1426,,91,0.0,0,,0,17.5,1091,0.591,14.6,206.0,995,0.59,587,23.5
144,24.7,437,0.3,19,,332.0,0.531,1342,590,0.346,464,0.795,369,3291.0,Ben Gordon,,83.0,243.0,ben-gordon-1,1795,,125,0.433,581,0.423,246,6.6,415,0.574,16.2,302.0,761,0.452,344,26.7
145,28.8,295,0.3,40,,328.0,0.542,980,438,0.474,465,0.778,362,3356.0,Devin Harris,,63.0,199.0,devin-harris-1,1425,,164,0.509,499,0.375,187,7.7,391,0.593,12.4,170.0,481,0.522,251,27.6
146,12.8,155,2.7,95,,422.0,0.497,881,386,0.278,245,0.755,185,2458.0,Josh Childress,,161.0,182.0,josh-childress-1,1061,,77,0.352,310,0.335,104,13.4,583,0.532,13.1,150.0,571,0.494,282,22.7
147,11.8,68,2.3,39,,173.0,0.522,441,210,0.313,138,0.71,98,1149.0,Luol Deng,,82.0,82.0,luol-deng-1,558,,49,0.252,111,0.36,40,12.6,255,0.551,14.1,83.0,330,0.515,170,24.7
148,11.0,75,1.8,40,,411.0,0.575,646,366,0.43,278,0.691,192,1697.0,Rafael Araujo,,178.0,212.0,rafael-araujo-1,935,,88,0.063,41,0.268,11,21.7,589,0.601,19.0,182.0,605,0.587,355,29.6
149,21.1,213,1.1,29,,275.0,0.458,483,205,0.427,206,0.738,152,1576.0,Andre Iguodala,,134.0,136.0,andre-iguodala-1,594,,95,0.242,117,0.274,32,13.7,409,0.511,18.5,132.0,366,0.473,173,20.1
150,21.1,424,0.7,37,,532.0,0.524,1398,645,0.426,596,0.849,506,3665.0,Luke Jackson,,214.0,233.0,luke-jackson-1,1970,,160,0.31,433,0.402,174,12.0,746,0.586,14.9,295.0,965,0.488,471,24.5
151,5.1,20,2.4,33,,203.0,0.461,498,221,0.46,229,0.742,170,990.0,Kris Humphries,,91.0,65.0,kris-humphries-1,629,,27,0.1,50,0.34,17,17.2,294,0.518,11.9,82.0,448,0.455,204,34.6
152,12.2,224,2.1,63,,342.0,0.473,1120,477,0.454,508,0.677,344,2586.0,Kirk Snyder,,195.0,200.0,kirk-snyder-1,1404,,76,0.305,342,0.31,106,8.9,537,0.516,16.2,263.0,778,0.477,371,29.5
153,,713,,10,,450.0,0.527,1550,703,0.377,584,0.786,459,4311.0,Jameer Nelson,,131.0,271.0,jameer-nelson-1,2094,,250,0.405,628,0.365,229,,581,0.573,17.2,379.0,922,0.514,474,
154,,270,,15,,284.0,0.551,920,450,0.29,267,0.831,222,2384.0,Delonte West,,93.0,167.0,delonte-west-1,1235,,121,0.326,300,0.377,113,,377,0.59,14.4,176.0,620,0.544,337,
155,19.0,196,1.7,54,,251.0,0.51,770,367,0.449,346,0.682,236,2105.0,Tony Allen,,115.0,197.0,tony-allen-1,1022,,134,0.195,150,0.347,52,9.6,366,0.547,16.8,188.0,620,0.508,315,26.1
156,10.2,133,0.7,30,,279.0,0.533,1224,565,0.519,635,0.841,534,2515.0,Kevin Martin,,75.0,168.0,kevin-martin-1,1838,,134,0.411,503,0.346,174,7.9,354,0.602,13.2,232.0,721,0.542,391,28.3
157,,52,,225,,405.0,0.601,813,489,0.754,613,0.553,339,2480.0,David Harrison,,302.0,300.0,david-harrison-1,1317,,54,0.001,1,0.0,0,,707,0.596,16.1,212.0,812,0.602,489,
158,15.1,131,1.5,70,,400.0,0.559,611,341,0.483,295,0.512,151,1930.0,Jackson Vroman,,198.0,228.0,jackson-vroman-1,834,,77,0.021,13,0.077,1,17.1,598,0.555,19.2,179.0,598,0.569,340,24.1
159,22.3,405,0.1,7,,300.0,0.522,1205,512,0.344,415,0.716,297,3897.0,Lionel Chalmers,,61.0,265.0,lionel-chalmers-1,1556,,154,0.524,632,0.372,235,5.6,361,0.555,19.3,336.0,573,0.483,277,23.3
160,10.5,201,0.6,43,,499.0,0.515,1765,882,0.353,623,0.703,438,4140.0,Andre Emmett,,266.0,172.0,andre-emmett-1,2256,,164,0.098,173,0.312,54,10.3,765,0.547,10.4,240.0,1592,0.52,828,26.5
161,36.2,487,0.5,15,,192.0,0.507,834,391,0.326,272,0.673,183,2786.0,Antonio Burks,,41.0,208.0,antonio-burks-1,1028,,177,0.188,157,0.401,63,5.1,233,0.534,17.5,205.0,677,0.484,328,23.7
162,17.4,300,0.6,25,,255.0,0.488,807,367,0.435,351,0.709,249,3287.0,Royal Ivey,,151.0,353.0,royal-ivey-1,1036,,124,0.195,157,0.338,53,7.0,406,0.532,16.7,195.0,650,0.483,314,18.1
163,30.0,819,0.3,16,,380.0,0.497,1033,432,0.338,349,0.693,242,4813.0,Chris Duhon,,109.0,268.0,chris-duhon-1,1268,,300,0.489,505,0.321,162,5.8,489,0.529,22.8,355.0,528,0.511,270,16.3
164,9.3,132,2.6,89,,476.0,0.492,1425,679,0.379,540,0.707,382,3496.0,Justin Reed,,290.0,388.0,justin-reed-1,1785,,123,0.111,158,0.285,45,11.6,766,0.531,14.7,290.0,1267,0.5,634,29.6
165,,52,,11,,101.0,0.462,251,107,0.45,113,0.504,57,789.0,Trevor Ariza,,61.0,69.0,trevor-ariza-1,289,,42,0.303,76,0.237,18,,162,0.474,21.0,81.0,175,0.509,89,
166,21.9,364,1.4,47,,481.0,0.467,1251,550,0.33,413,0.814,336,3666.0,Bernard Robinson,,159.0,305.0,bernard-robinson-1,1505,,169,0.185,232,0.297,69,10.6,640,0.52,19.6,352.0,1019,0.472,481,24.8
167,,56,,61,,449.0,0.48,814,381,0.65,529,0.667,353,2334.0,Pape Sow,,205.0,258.0,pape-sow-1,1135,,104,0.084,68,0.294,20,,654,0.533,14.9,187.0,746,0.484,361,
168,8.0,114,1.1,71,,399.0,0.512,1412,632,0.4,565,0.786,444,3472.0,Matt Freije,,192.0,262.0,matt-freije-1,1891,,79,0.365,515,0.355,183,9.8,591,0.563,9.3,172.0,897,0.501,449,28.0
169,15.6,229,0.6,21,,272.0,0.506,1514,683,0.477,722,0.87,628,3654.0,Luis Flores,,133.0,226.0,luis-flores-1,2160,,175,0.289,438,0.379,166,7.4,446,0.582,13.2,267.0,1076,0.48,517,28.4
170,18.2,155,4.2,109,,517.0,0.612,744,449,0.429,319,0.674,215,2226.0,Andrew Bogut,,236.0,158.0,andrew-bogut-1,1126,,48,0.048,36,0.361,13,24.2,753,0.629,17.0,183.0,708,0.616,436,29.7
171,5.4,26,1.4,17,,171.0,0.545,247,125,0.66,163,0.847,138,800.0,Marvin Williams,,65.0,92.0,marvin-williams-1,407,,39,0.178,44,0.432,19,16.0,236,0.627,14.7,56.0,203,0.522,106,21.1
172,33.5,594,0.5,22,,291.0,0.508,947,400,0.228,216,0.685,148,3200.0,Deron Williams,,43.0,224.0,deron-williams-1,1111,,115,0.46,436,0.374,163,6.3,334,0.529,18.8,243.0,511,0.464,237,21.0
173,32.3,395,0.4,13,,202.0,0.545,589,278,0.62,365,0.838,306,2110.0,Chris Paul,,43.0,163.0,chris-paul-1,948,,160,0.311,183,0.47,86,6.6,245,0.622,18.3,171.0,406,0.473,192,20.6
174,35.1,698,0.5,27,,348.0,0.512,978,414,0.361,353,0.731,258,3421.0,Raymond Felton,,69.0,233.0,raymond-felton-1,1260,,192,0.474,464,0.375,174,6.7,417,0.55,24.0,361.0,514,0.467,240,20.3
175,6.9,63,4.9,105,,287.0,0.541,525,272,0.389,204,0.681,139,1405.0,Charlie Villanueva,,138.0,140.0,charlie-villanueva-1,707,,26,0.116,61,0.393,24,14.0,425,0.568,14.9,109.0,464,0.534,248,22.4
176,9.7,176,4.7,258,,606.0,0.565,1257,707,0.387,486,0.759,369,3686.0,Channing Frye,,369.0,370.0,channing-frye-1,1789,,86,0.018,23,0.261,6,14.4,975,0.601,11.4,191.0,1234,0.568,701,21.9
177,9.3,113,3.9,153,,496.0,0.59,1080,617,0.791,854,0.786,671,3190.0,Ike Diogu,,306.0,258.0,ike-diogu-1,1946,,39,0.098,106,0.387,41,14.6,802,0.655,17.0,305.0,974,0.591,576,27.6
178,10.1,113,2.9,94,,504.0,0.513,862,442,0.532,459,0.717,329,2139.0,Sean May,,267.0,188.0,sean-may-1,1213,,100,0.013,11,0.0,0,19.7,771,0.562,14.6,184.0,851,0.519,442,26.7
179,14.3,204,1.4,61,,251.0,0.574,1263,614,0.298,377,0.721,272,2863.0,Rashad McCants,,147.0,237.0,rashad-mccants-1,1721,,145,0.422,533,0.415,221,7.6,398,0.597,13.2,220.0,730,0.538,393,26.8
180,16.4,184,0.7,50,,365.0,0.492,1134,467,0.303,344,0.648,223,2793.0,Antoine Wright,,122.0,222.0,antoine-wright-1,1338,,95,0.425,482,0.376,181,7.8,487,0.516,13.2,198.0,652,0.439,286,26.0
181,13.5,210,0.4,33,,456.0,0.559,1132,597,0.439,497,0.809,402,3337.0,Joey Graham,,211.0,371.0,joey-graham-1,1667,,100,0.166,188,0.378,71,12.8,667,0.609,16.9,279.0,944,0.557,526,27.7
182,17.6,154,4.1,180,,543.0,0.533,1066,529,0.561,598,0.753,450,2695.0,Danny Granger,,238.0,302.0,danny-granger-1,1586,,148,0.2,213,0.366,78,17.7,781,0.587,13.8,217.0,853,0.529,451,30.8
183,10.4,207,2.0,128,,639.0,0.539,1432,767,0.561,803,0.659,529,4186.0,Hakim Warrick,,386.0,328.0,hakim-warrick-1,2073,,131,0.028,40,0.25,10,12.8,1025,0.572,14.7,313.0,1392,0.544,757,25.5
184,23.3,454,1.4,82,,518.0,0.513,1407,665,0.557,784,0.76,596,4258.0,Julius Hodge,,255.0,324.0,julius-hodge-1,2040,,161,0.247,347,0.329,114,11.1,773,0.573,15.7,332.0,1060,0.52,551,25.6
185,20.5,285,0.2,9,,207.0,0.523,975,446,0.342,333,0.793,264,2510.0,Nate Robinson,,138.0,235.0,nate-robinson-1,1283,,140,0.374,365,0.348,127,7.8,345,0.566,13.3,174.0,610,0.523,319,23.7
186,26.2,543,0.2,11,,406.0,0.532,850,406,0.532,452,0.796,360,3260.0,Jarrett Jack,,44.0,202.0,jarrett-jack-1,1265,,183,0.305,259,0.359,93,7.6,450,0.594,23.8,332.0,591,0.53,313,21.8
187,28.9,346,3.3,134,,266.0,0.535,1031,462,0.353,364,0.849,309,2757.0,Francisco Garcia,,113.0,261.0,francisco-garcia-1,1413,,145,0.473,488,0.369,180,7.6,379,0.587,16.2,233.0,543,0.519,282,26.1
188,18.7,326,0.5,23,,314.0,0.582,956,452,0.253,242,0.752,182,3250.0,Luther Head,,89.0,198.0,luther-head-1,1295,,158,0.572,547,0.382,209,7.6,403,0.605,15.5,197.0,409,0.594,243,21.2
189,7.4,87,5.6,251,,553.0,0.508,1108,562,0.608,674,0.653,440,3563.0,Jason Maxiell,,355.0,331.0,jason-maxiell-1,1566,,91,0.006,7,0.286,2,13.2,908,0.548,11.7,189.0,1101,0.509,560,23.3
190,13.3,66,0.7,14,,263.0,0.448,555,229,0.535,297,0.707,210,1408.0,Linas Kleiza,,122.0,143.0,linas-kleiza-1,707,,27,0.245,136,0.287,39,14.1,385,0.508,14.3,116.0,419,0.453,190,30.3
191,8.4,93,1.6,78,,587.0,0.561,1048,585,0.508,532,0.784,417,2817.0,Wayne Simien,,297.0,247.0,wayne-simien-1,1593,,78,0.024,25,0.24,6,16.6,884,0.612,12.5,185.0,1023,0.566,579,26.2
192,17.3,251,2.4,109,,584.0,0.581,935,543,0.55,514,0.681,350,3171.0,David Lee,,285.0,281.0,david-lee-1,1436,,113,0.006,6,0.0,0,16.3,869,0.609,18.2,263.0,929,0.584,543,23.5
193,13.3,256,0.2,8,,236.0,0.602,1306,615,0.342,446,0.87,388,3848.0,Salim Stoudamire,,47.0,281.0,salim-stoudamire-1,1960,,99,0.572,747,0.458,342,4.1,283,0.646,14.7,262.0,559,0.488,273,22.3
194,10.2,293,0.3,24,,265.0,0.519,1246,538,0.325,405,0.746,302,3827.0,Daniel Ewing,,117.0,365.0,daniel-ewing-1,1595,,191,0.445,554,0.392,217,5.5,382,0.554,15.2,258.0,692,0.464,321,20.8
195,5.5,42,3.3,104,,333.0,0.555,559,302,0.617,345,0.78,269,2020.0,Brandon Bass,,153.0,132.0,brandon-bass-1,890,,45,0.081,45,0.378,17,16.1,486,0.616,13.1,109.0,514,0.554,285,23.2
196,7.4,130,4.2,179,,595.0,0.52,1038,538,0.866,899,0.715,643,3239.0,Ronny Turiaf,,264.0,362.0,ronny-turiaf-1,1723,,61,0.017,18,0.222,4,16.4,859,0.588,15.1,261.0,1020,0.524,534,27.6
197,38.6,617,0.1,8,,309.0,0.532,1228,511,0.375,460,0.837,385,3770.0,Travis Diener,,64.0,251.0,travis-diener-1,1691,,158,0.559,687,0.413,284,6.1,373,0.585,13.7,230.0,541,0.42,227,24.2
198,14.4,84,0.8,13,,111.0,0.508,528,214,0.223,118,0.669,79,1318.0,Von Wafer,,22.0,83.0,von-wafer-1,615,,54,0.561,296,0.365,108,5.7,133,0.526,12.7,85.0,232,0.457,106,24.4
199,9.4,69,4.8,110,,288.0,0.569,564,321,0.427,241,0.564,136,1692.0,Chris Taft,,200.0,100.0,chris-taft-1,778,,23,0.0,0,,0,17.3,488,0.573,11.9,92.0,564,0.569,321,23.8
200,8.9,20,2.8,19,,78.0,0.571,163,87,0.35,57,0.649,37,541.0,Erazem Lorbek,,37.0,58.0,erazem-lorbek-1,223,,22,0.16,26,0.462,12,13.2,115,0.587,16.7,38.0,137,0.547,75,22.3
201,17.7,204,1.3,47,,320.0,0.485,1159,469,0.416,482,0.776,374,3035.0,Bracey Wright,,113.0,156.0,bracey-wright-1,1498,,79,0.459,532,0.35,186,8.5,433,0.54,12.5,198.0,627,0.451,283,28.0
202,13.8,270,0.8,50,,641.0,0.546,1510,784,0.411,620,0.789,489,4077.0,Ryan Gomes,,387.0,244.0,ryan-gomes-1,2138,,181,0.152,230,0.352,81,15.3,1028,0.592,12.9,267.0,1280,0.549,703,23.8
203,9.7,14,2.1,8,,31.0,0.348,138,48,0.341,47,0.66,31,286.0,Robert Whaley,,23.0,47.0,robert-whaley-1,127,,6,0.007,1,0.0,0,10.7,54,0.396,13.0,24.0,137,0.35,48,31.5
204,21.5,326,0.9,33,,257.0,0.486,631,258,0.26,164,0.726,119,2567.0,Orien Greene,,98.0,286.0,orien-greene-1,732,,207,0.487,307,0.316,97,10.1,355,0.516,23.9,223.0,324,0.497,161,21.2
205,15.7,239,1.0,37,,387.0,0.521,1167,541,0.266,311,0.781,243,3252.0,Dijon Thompson,,159.0,213.0,dijon-thompson-1,1458,,133,0.314,367,0.362,133,10.7,546,0.554,17.8,285.0,800,0.51,408,24.2
206,10.4,177,1.8,112,,764.0,0.479,1426,653,0.612,872,0.659,575,3701.0,Lawrence Roberts,,408.0,284.0,lawrence-roberts-1,1942,,189,0.142,202,0.302,61,17.9,1172,0.528,13.2,279.0,1224,0.484,592,27.0
207,19.9,249,0.9,38,,359.0,0.518,983,449,0.315,310,0.823,255,3023.0,Alex Acker,,136.0,167.0,alex-acker-1,1273,,133,0.297,292,0.411,120,9.5,495,0.563,16.9,230.0,691,0.476,329,22.2
208,4.3,34,4.2,97,,256.0,0.586,471,276,0.527,248,0.649,161,1602.0,LaMarcus Aldridge,,178.0,141.0,lamarcus-aldridge-1,713,,67,0.0,0,,0,15.3,434,0.605,12.9,87.0,471,0.586,276,20.9
209,17.4,188,0.9,35,,361.0,0.552,1329,669,0.397,527,0.761,401,2908.0,Adam Morrison,,124.0,164.0,adam-morrison-1,1867,,66,0.262,348,0.368,128,9.4,485,0.591,9.4,164.0,981,0.551,541,26.7
210,10.4,42,8.1,99,,205.0,0.61,250,152,0.548,137,0.657,90,829.0,Tyrus Thomas,,90.0,82.0,tyrus-thomas-1,395,,33,0.004,1,1.0,1,19.7,295,0.627,15.8,59.0,249,0.606,151,21.7
211,6.3,119,7.3,422,,815.0,0.573,1202,687,0.659,792,0.694,550,3903.0,Shelden Williams,,447.0,432.0,shelden-williams-1,1928,,161,0.01,12,0.333,4,18.3,1262,0.611,16.9,321.0,1190,0.574,683,24.0
212,20.1,308,1.2,49,,332.0,0.537,1041,533,0.45,468,0.765,358,2837.0,Brandon Roy,,185.0,221.0,brandon-roy-1,1477,,103,0.148,154,0.344,53,10.5,517,0.585,14.7,217.0,887,0.541,480,23.8
213,23.2,416,0.9,52,,444.0,0.461,1711,682,0.291,498,0.781,389,4096.0,Randy Foye,,181.0,359.0,randy-foye-1,1966,,198,0.378,647,0.329,213,8.6,625,0.505,16.3,378.0,1064,0.441,469,28.6
214,12.6,116,3.2,111,,257.0,0.501,692,319,0.353,244,0.721,176,1908.0,Rudy Gay,,121.0,146.0,rudy-gay-1,870,,83,0.214,148,0.378,56,10.8,378,0.538,15.0,143.0,544,0.483,263,25.2
215,,38,,147,,273.0,0.554,435,241,0.411,179,0.687,123,1265.0,Patrick O'Bryant,,135.0,163.0,patrick-obryant-1,605,,46,0.0,0,,0,,408,0.582,16.1,100.0,435,0.554,241,
216,12.7,306,0.1,9,,309.0,0.553,1906,825,0.381,726,0.912,662,4732.0,J.J. Redick,,66.0,226.0,jj-redick-1,2769,,152,0.591,1126,0.406,457,4.3,375,0.615,11.6,296.0,780,0.472,368,25.7
217,5.7,73,6.0,191,,345.0,0.565,403,227,0.682,275,0.578,159,1980.0,Hilton Armstrong,,172.0,271.0,hilton-armstrong-1,614,,43,0.007,3,0.333,1,13.2,517,0.575,23.0,159.0,400,0.565,226,15.9
218,21.5,299,1.2,49,,302.0,0.511,1067,493,0.455,486,0.671,326,2974.0,Ronnie Brewer,,150.0,153.0,ronnie-brewer-1,1416,,216,0.287,306,0.34,104,8.8,452,0.546,13.5,203.0,761,0.511,389,25.0
219,12.3,68,7.0,115,,181.0,0.568,301,170,0.734,221,0.652,144,1189.0,Cedric Simmons,,79.0,157.0,cedric-simmons-1,486,,26,0.013,4,0.5,2,13.1,260,0.599,16.8,82.0,297,0.566,168,21.7
220,8.9,155,3.1,131,,448.0,0.506,1587,659,0.26,413,0.717,296,3670.0,Rodney Carney,,203.0,280.0,rodney-carney-1,1901,,134,0.499,792,0.362,287,11.6,651,0.533,9.7,191.0,795,0.468,372,26.2
221,,67,,49,,160.0,0.48,375,156,0.387,145,0.786,114,1002.0,Shawne Williams,,62.0,105.0,shawne-williams-1,474,,50,0.411,154,0.312,48,,222,0.534,15.4,81.0,221,0.489,108,
222,21.5,257,1.5,62,,206.0,0.526,1344,581,0.251,338,0.82,277,3045.0,Quincy Douby,,68.0,172.0,quincy-douby-1,1690,,121,0.481,646,0.389,251,5.7,274,0.562,12.0,205.0,698,0.473,330,31.0
223,16.6,176,3.8,112,,328.0,0.567,573,317,0.396,227,0.533,121,2193.0,Renaldo Balkman,,222.0,219.0,renaldo-balkman-1,771,,123,0.096,55,0.291,16,15.0,550,0.566,20.2,172.0,518,0.581,301,20.5
224,28.9,285,0.5,13,,249.0,0.521,505,249,0.44,222,0.577,128,1908.0,Rajon Rondo,,57.0,133.0,rajon-rondo-1,654,,156,0.196,99,0.283,28,9.3,306,0.536,19.5,148.0,406,0.544,221,20.1
225,43.3,510,0.4,14,,179.0,0.455,505,203,0.418,211,0.791,167,1954.0,Marcus Williams,,48.0,119.0,marcus-williams-1,627,,72,0.285,144,0.375,54,5.7,227,0.518,27.0,224.0,361,0.413,149,20.1
226,4.6,84,4.7,222,,396.0,0.578,661,382,0.528,349,0.559,195,2672.0,Josh Boone,,322.0,199.0,josh-boone-1,959,,53,0.0,0,,0,13.4,718,0.58,14.2,137.0,661,0.578,382,15.7
227,25.9,171,0.6,13,,137.0,0.465,403,181,0.566,228,0.737,168,1524.0,Kyle Lowry,,82.0,148.0,kyle-lowry-1,543,,108,0.099,40,0.325,13,8.3,219,0.531,17.7,110.0,363,0.463,168,20.4
228,14.0,188,0.3,11,,230.0,0.518,910,416,0.319,290,0.831,241,2712.0,Shannon Brown,,99.0,184.0,shannon-brown-1,1183,,124,0.332,302,0.364,110,7.7,329,0.565,15.8,197.0,608,0.503,306,23.8
229,33.9,342,0.4,12,,157.0,0.478,712,292,0.369,263,0.76,200,2122.0,Jordan Farmar,,39.0,140.0,jordan-farmar-1,881,,82,0.409,291,0.333,97,5.7,196,0.526,22.9,248.0,421,0.463,195,26.3
230,12.0,181,0.9,39,,325.0,0.527,1185,523,0.333,395,0.775,306,3176.0,Maurice Ager,,99.0,240.0,maurice-ager-1,1554,,62,0.449,532,0.38,202,8.5,424,0.566,13.3,210.0,653,0.492,321,25.9
231,22.6,398,0.6,29,,414.0,0.45,1798,718,0.268,482,0.624,301,4683.0,Mardy Collins,,155.0,285.0,mardy-collins-1,1919,,290,0.347,624,0.292,182,6.9,569,0.473,11.2,255.0,1174,0.457,536,26.1
232,22.7,316,1.3,75,,391.0,0.507,963,428,0.389,375,0.784,294,3336.0,James White,,129.0,276.0,james-white-1,1270,,117,0.371,357,0.336,120,8.9,520,0.556,17.9,248.0,606,0.508,308,19.0
233,8.0,123,0.2,9,,403.0,0.622,1064,485,0.245,261,0.931,243,3401.0,Steve Novak,,121.0,253.0,steve-novak-1,1567,,64,0.722,768,0.461,354,9.1,524,0.66,10.2,135.0,296,0.443,131,20.2
234,7.9,61,6.2,153,,316.0,0.505,428,216,0.502,215,0.693,149,1838.0,Solomon Jones,,154.0,200.0,solomon-jones-1,581,,38,0.005,2,0.0,0,15.3,470,0.548,23.3,161.0,426,0.507,216,19.6
235,11.8,178,2.0,87,,633.0,0.543,1142,614,0.547,625,0.763,477,3349.0,Paul Davis,,277.0,344.0,paul-davis-1,1718,,146,0.042,48,0.271,13,17.2,910,0.597,15.8,270.0,1094,0.549,601,26.7
236,13.8,170,0.6,23,,447.0,0.528,832,438,0.492,409,0.711,291,2518.0,P.J. Tucker,,267.0,218.0,pj-tucker-1,1169,,116,0.005,4,0.5,2,15.7,714,0.57,15.7,191.0,828,0.527,436,23.7
237,11.0,245,1.4,100,,725.0,0.563,1650,921,0.463,764,0.643,491,4415.0,Craig Smith,,389.0,374.0,craig-smith-1,2349,,167,0.041,67,0.239,16,14.5,1114,0.583,12.7,293.0,1583,0.572,905,27.0
238,8.6,153,1.4,59,,361.0,0.539,847,424,0.523,443,0.707,313,3013.0,Bobby Jones,,256.0,439.0,bobby-jones-2,1226,,134,0.209,177,0.367,65,11.7,617,0.58,13.7,168.0,670,0.536,359,18.6
239,14.6,247,1.3,60,,340.0,0.581,656,349,0.306,201,0.587,118,2948.0,David Noel,,209.0,254.0,david-noel-1,880,,137,0.276,181,0.354,64,10.3,549,0.586,22.6,219.0,475,0.6,285,15.3
240,7.7,148,2.8,139,,666.0,0.621,865,534,0.52,450,0.687,309,3717.0,James Augustine,,357.0,356.0,james-augustine-1,1383,,141,0.021,18,0.333,6,16.6,1023,0.641,15.6,199.0,847,0.623,528,17.9
241,20.0,237,0.6,20,,189.0,0.533,716,294,0.324,232,0.741,172,2246.0,Daniel Gibson,,56.0,167.0,daniel-gibson-1,935,,104,0.631,452,0.387,175,6.1,245,0.566,16.6,165.0,264,0.451,119,21.7
